lord_id,alliance_id,alliance_tag,map_id,name,power,units_killed,town_center,faction,home_server,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
4711167,183458,ECHO,27010,야인Amazon,230783082,1483579008,25,League of Order,60,32776340,233253202,171209809,31734406,18820467,9018400,5744785,912442801,722,265111,404926,903,1380433275,763469216,907223538,1391932398,206,3708834128,774,98511,58717776651,43383651485,31040133439,32276881472,13651558,890353218,516010750,8683812,4660030,63519625
1542026,183458,ECHO,27010,taeyeоn,226080304,1315482655,25,Wilderburg,60,17259455,252873194,165284471,31734406,18820467,10240960,6636833,795432826,566,247787,306521,1448,574956389,530655961,948307996,4099401415,165,6961262610,1474,129467,19288043890,15697609424,9348211107,10457375890,5046301,703614726,526371048,25099929,11676633,48033150
7767962,183458,ECHO,27010,ᴹᴵᴸᴷＧｅｎｅｓｉｓ,223117577,740532837,25,League of Order,60,30618256,302966691,162526834,31734406,18820467,10035870,3230427,432547127,277,200218,240228,447,446331535,380179004,319415403,1298199589,20,561610803,133,90367,19957805618,16714543683,10184565428,11947654079,12470760,372058448,299945341,29470122,19326695,19518568
3643306,183458,ECHO,27010,RynoS,222498304,1232214233,25,League of Order,60,13130387,234653884,162285316,31732531,18820467,9659990,5770793,919010855,826,273756,367906,629,441259592,343409902,526277401,2118104893,123,2912292339,622,89747,28534645587,26116167534,18962676145,18866316513,6710839,654958548,516126165,20148685,8444740,32109386
4475636,183458,ECHO,27010,till we are so naked,222269385,1427815159,25,League of Order,60,15961025,273927768,161863071,31734406,18820468,9595440,7430296,774253957,593,261825,249710,644,249581318,157811002,145773319,2478807789,2,4806945456,968,68726,11461101407,11603282150,5617081487,5609238507,2017554,472617753,699087163,42676117,16893802,196265575
11237273,183458,ECHO,27010,ᶜʰᵃᵒˢメdudu,221063866,846680093,25,League of Order,60,9095135,250039237,162059983,31734406,18820467,8449010,4134583,493698020,655,163005,178896,192,907799325,708961463,309362664,2392291187,1967,871738671,179,50662,11388298453,10578953630,7311716640,6702222261,3630433,314574841,458309420,16545992,3835994,53142926
2286961,265959,ECH3,27010,ᶜʰᵃᵒˢメTempy,219647077,1941639245,25,League of Order,60,36307056,237566057,158508664,31734406,18820467,10583540,6561012,1028638081,912,388324,464488,3246,1097459523,597519180,658164778,7401949724,859,3010759873,663,112941,38925733855,35932566404,25527955079,26752498906,8579966,1093619478,764552381,36798682,13356575,32088663
3277518,183458,ECHO,27010,iEmperor,218986141,1712879641,25,Wilderburg,60,26832613,320240139,157156458,31734406,18820467,11274810,6809928,1094453509,1147,435985,378186,977,191229326,77383760,92174222,516477431,100,6114600231,1263,100282,30560522323,27087171979,18778192094,18785575331,12660048,813518479,776174365,47245719,20076701,54866396
4508150,183458,ECHO,27010,SᴏD,213977167,1600712532,25,League of Order,60,48873792,316903564,153070014,31734406,18820467,10352280,3384949,1109157421,972,363598,380690,1161,1206293700,939062991,1203423033,4641599983,239,4250003629,881,143118,38461610818,35424345506,23802364098,23976171353,14278162,794476390,613192884,44063624,23445620,125160249
1666877,183458,ECHO,27010,SNaKE RAzOR,212657053,1436868022,25,League of Order,60,31319840,278262053,150865600,31734406,18820467,11236580,9778352,1235839228,3250,442498,226674,786,2558540371,2801935716,1340229754,2148452888,291,60280866,15,62922,51651393216,55384747058,31571722073,35663948300,12994395,714907385,659698398,21193457,7719998,32467266
11164939,-,-,60,gibeek97,206330512,753679429,25,League of Order,60,-,206332912,148008339,31734406,18820467,7767300,2083613,311295868,886,74312,242563,1263,1331638691,1223844422,1030877788,5001226649,26,3164457080,643,112317,10401687328,10204177482,6255327277,6153981195,4776219,280632227,369763022,24619836,8137312,70003922
4346294,183458,ECHO,27010,SUNＷUKONG,200880626,984502030,25,League of Order,60,17631392,217461346,140667478,31732531,18820467,9660150,2611855,463754553,752,116356,270165,816,1352685705,1054472430,763247492,2716970671,1532,1394308402,305,98901,8348168637,8150481920,5303805298,5310649673,5940030,369246695,436735770,41482868,23769406,111665447
1182144,183458,ECHO,27010,Thempire,198632568,655581828,25,League of Order,60,9467013,225994028,138296095,31734406,18820467,9781600,2924842,491401693,373,149330,234063,912,1159288076,1379379106,1417783271,4676869514,335,2600000,1,90584,13172805230,14739060065,9315198203,9078313083,5508257,400294966,214495176,8397370,3484942,28685799
4508709,183458,ECHO,27010,Sky Inf Slave,197512213,274594461,25,League of Order,60,9651573,217940503,139060510,31734406,18820467,7895730,923382,159979647,363,54839,54707,134,43159124,36142652,27308923,794437129,1514,6377958938,1282,22071,7734796975,7037543659,5311416667,3310801203,4705613,75811742,173587054,14567931,4474891,5766704
7088962,183458,ECHO,27010,ƧӇƛƊƠƜ ӇЄƦƠ,190249993,670496995,25,Wilderburg,60,8002368,203380693,128576620,31734406,18820467,11118500,1467914,445085753,153,155201,190999,508,545920456,458296345,929697467,2089009613,20,1707069933,344,136087,9389594029,11098140473,7772732337,6928248978,8123867,286688230,358320206,7033885,3216915,14953772
1888713,183458,ECHO,27010,kiss me where hurt,189643043,927107652,25,League of Order,60,26021294,242940349,129526039,31734406,18820468,9242130,5701006,626041071,611,189147,241525,444,74888141,92274931,51666035,1980430566,74,4627068860,934,43350,9819371460,9302495284,5334496604,4976441833,2760729,421580650,430019205,24530656,15911313,34744527
3649177,183458,ECHO,27010,taj,186513567,646442972,25,Wilderburg,60,14349284,236126627,125748559,31732531,18820467,10212010,4629360,631449418,1068,293574,132626,145,178812560,307714369,391765168,882332652,50,5866736870,1218,82436,25413484720,19912017843,18090260526,15493992760,8892351,368655130,253624895,5753887,3284116,14170313
3452794,183458,ECHO,27010,PavawN,186479512,881481262,25,Wilderburg,60,7746400,206239512,125690479,31734406,18820467,10234160,3502416,579458286,294,175330,252007,1013,1413460536,1455657960,1001680920,5743401426,130,1870355654,391,105533,11530814858,11181817260,8390688725,7578106866,5305703,430044760,388987839,21138277,5694496,35496990
8237565,183458,ECHO,27010,ᶠᴮᶦ Banao,185158891,781868707,25,League of Order,60,26778940,186016491,125887388,31734406,18820467,8716630,5945808,653217611,869,340680,175924,441,1312902115,2251600380,249501855,3162186393,2239,2481622040,521,166058,25124775771,24026284246,4980200283,12799645615,6250400,363024376,359859869,26812904,14595856,16570219
7504081,183458,ECHO,27010,SoÐ,183327999,975833487,25,Wilderburg,60,15771495,210974079,122821886,31734406,18820467,9951240,5423855,699085117,731,321320,192487,674,932724237,498017841,701207213,2895503095,19,664893894,147,126354,19348724026,19565743510,9778537282,12230861175,7500418,458224624,412055129,28288671,10519326,66092511
8600542,183458,ECHO,27010,Hav0c13,181829968,465601926,25,League of Order,60,5376338,181829968,121607295,31734406,18820467,9667800,1951274,390364664,135,86815,174789,476,1009854507,1127097724,908066372,4670755845,2542,892833146,189,142753,9764709973,10568609297,6180208355,5896149888,5329609,242817451,183070782,6017570,3540510,29999200
5390332,183458,ECHO,27010,RaphaeI,181494850,566981579,25,Wilderburg,60,8425598,183286870,121018057,31734406,18820467,9921920,4014437,507428531,1150,106776,152448,605,1367073362,738493234,1009118840,1875674754,104,5079808256,1091,82315,15837572296,13123663274,11613320318,8873304681,9616364,309022705,178876399,6111178,4596683,68110597
2434420,183458,ECHO,27010,Hyśt,178888142,1921552538,25,League of Order,60,37025005,209675792,117949359,31734406,18820467,10383910,2767936,717440386,213,129246,660022,1691,1642366911,1591151073,1328205186,6680511570,1187,177854932,48,120898,17252774023,15851946435,11781445695,11649203262,6424323,1129605872,640709984,27578914,14620119,108920147
3321228,183458,ECHO,27010,ѧʟṃѧẓ88,175606394,609736515,25,Wilderburg,60,6426293,194708196,115119491,31734406,18820467,9932030,4124114,604398448,61,223509,164552,129,222192866,262686585,164259259,491277533,47,176389462,36,69946,15807763467,21015800356,16794681648,14635051636,6264542,292615141,290058730,10529607,3734189,12643839
1183023,183458,ECHO,27010,ÐK,171199483,510113392,25,Wilderburg,60,8733329,201669703,109667270,31734406,18820467,10977340,2775453,478813509,287,147320,173238,1103,1419097588,1171586333,1204770590,1039329629,65,342536714,165,103038,16011705062,14403025800,12118645773,11035629464,10527649,276203240,190628056,11846631,5056043,26209169
1386463,183458,ECHO,27010,RashedQ8,167977879,983062537,25,League of Order,60,5743082,210467759,107007136,31734406,18820467,10415870,5180882,662391627,625,202584,254645,1244,242670744,367966405,473115034,2556272698,111,3608148662,735,102477,15133721500,14410329920,11380865164,9486019680,8058266,498489556,380094620,23304292,20671550,59843719
1160981,-,-,60,SaV4g0n,167289884,1115873424,25,League of Order,60,-,167289884,107991981,31734406,18820467,8743030,3207782,530085331,1818,192163,305349,2617,508900120,460426899,503070778,4819626279,330,8436022001,1704,100449,13565665028,12660562309,8682340133,5774332332,2294712,413210412,561680473,44941182,22500009,71221263
9816988,183458,ECHO,27010,ᴳᵉⁿ 장 비,166957507,895623151,25,League of Order,60,13523506,207920367,107105393,31734406,18820468,9297240,2718822,590953317,591,212906,223285,486,727828642,729014089,732776624,3763406570,169,4446989246,891,137830,15346623884,16657480408,11800227777,9136067194,5277582,380925086,422415442,23522783,13061185,55296263
8478126,183458,ECHO,27010,ᶠᴮᶦ Zuke,165261713,1573063856,25,Wilderburg,60,15579981,167164263,104946520,31734406,18820467,9760320,11149553,695193580,3338,199916,196762,1362,280186267,148924350,97074174,463780437,173,3024736542,654,155512,24069193934,22173532743,17928246358,16096776506,8694356,524710476,889356703,69073167,42940827,45023260
3206448,183458,ECHO,27010,Broke Lizard,165185756,635026444,25,League of Order,60,16049043,166224682,105888503,31734406,18820467,8322380,2854588,350993948,291,91502,297938,792,871830366,903740119,776332836,1763857882,44,77299019,77,115496,9280298718,8694337362,4908630517,5891083134,5711174,375676276,177805876,5686468,3185386,72362369
1015441,183458,ECHO,27010,ankou,165116125,520687900,25,League of Order,60,7587844,165146295,105720832,31734406,18820467,8840420,1656570,406407395,386,101318,237561,1010,580332789,595258262,543475044,1571091097,201,100133928,32,36097,7439246103,6681966853,5255885202,4489620947,3418228,301397604,142775238,8678974,10132434,57508869
4019235,183458,ECHO,27010,Teng3n,163272940,1280651007,25,League of Order,60,12082274,177800310,102683737,31734406,18820467,10034330,2935658,690021157,510,143713,366425,641,1042649754,657403906,1836659913,4628406361,35,243554168,67,145737,14841488367,13942956588,11166333043,10538414341,3916798,556085637,661638176,16344756,4882806,41589954
4562030,183458,ECHO,27010,NegativeQT,162380549,995285810,25,League of Order,60,19077233,200396988,100907976,31734406,18820467,10917700,3296558,685067914,195,182918,358796,2307,2397260035,2447946665,1678476804,6020318343,934,634786345,131,171944,16462989227,15449584860,9559361077,9877755215,9224103,610161653,298661794,4912042,3559304,77816273
10046314,183458,ECHO,27010,ˢᵉⁿˢᵉⁱ 유비,161577868,1014599073,25,League of Order,60,19323853,180931123,100987835,31734406,18820467,10035160,6468487,675170173,1259,218780,256939,661,387046200,259330230,187763877,3152238238,39,1152965043,249,65866,21053842896,19536139268,12603717783,13215363229,6984192,492146714,424996819,40253811,17715174,39005132
6418014,183458,ECHO,27010,Evil Zalmis,159973984,1210320094,25,Wilderburg,60,16712996,162993865,99262041,31734406,18820467,10157070,5906269,588327225,1837,165693,226460,1349,145581906,121784032,79436810,728603738,10,273006919,70,119352,25396397469,22274035058,20180033698,17555107520,7676314,524007371,539058927,46492343,25363277,72317219
1176862,183458,ECHO,27010,PufferFish,158856352,556413869,25,League of Order,60,278090,158856352,99830734,31732531,18820467,8472620,571615,436078190,471,35266,320031,500,1813319703,2148387365,1944638766,3907540190,8173,103237635,39,132287,5108417969,5623361672,3655210908,3087113069,3077566,336722878,144197734,5256083,2842563,67173985
8650536,183458,ECHO,27010,Magic Juan,157719664,1044179878,25,League of Order,60,23510486,216615524,96888561,31734406,18820467,10276230,1851256,625164276,112,110098,489143,963,2169816798,1900571768,1490173375,5628123142,70,35012785,56,196375,17568336946,18407361444,14954867998,12761332058,8233080,647925153,322267857,5884908,3512599,64502504
2569741,183458,ECHO,27010,IIRenatusII,157106915,711991201,25,League of Order,60,7582788,180108065,96576792,31734406,18820467,9975250,1210971,390035290,307,65358,321385,1931,851863835,1438369931,2045587627,4189895785,97,1494588418,312,70457,5223113819,5343261956,4121428571,3354239883,3019981,318239152,337040563,13557651,3582770,39262706
12460734,183458,ECHO,27010,Broke Babycakes,156835341,505083790,25,Wilderburg,60,7371442,185005871,97003267,31734406,18820468,9277200,2109066,337496322,200,120601,109444,351,226975162,207613604,59436056,1995602529,52,1264532850,269,42039,14868217508,13314046726,6856430940,8551602468,7801934,166170574,292798164,11099600,4704332,30205105
10832006,183458,ECHO,27010,BaByBee,155162279,499902863,25,League of Order,60,10440604,179069499,95745871,31732531,18740967,8942910,1340285,458160638,478,201338,124632,260,1599972946,2125026575,990040897,3452891655,4754,2294790072,463,62594,19249189511,19161466564,10928495278,11244747422,6992943,231796434,215801297,11533909,11337069,29182001
2835247,183458,ECHO,27010,ChestNut,154635422,611689616,25,League of Order,60,2231504,167739042,93756659,31734406,18820467,10323890,3351445,377191176,597,136913,175956,539,496722975,502062937,294307066,1753040421,757,338815951,71,86743,5329672359,5242020004,2536382040,3131672549,2378252,227753510,326994381,29074408,8653500,18553969
1652299,183458,ECHO,27010,SoD,154466480,2456963042,25,League of Order,60,53095687,230858020,93530787,31734406,18820467,10380820,11595647,1178645051,2864,350563,673436,1503,166863813,63673553,86394347,7214939518,-,7500000000,1546,182690,39699317247,35556808711,28474774273,26472382799,8296093,1449795910,830068528,55041725,29778586,88767245
2622169,183458,ECHO,27010,NoSoup4You,153499814,607507865,25,League of Order,60,8779862,161479554,93017480,31734406,18820468,9927460,4261339,493260727,908,197556,276511,760,944810457,645560988,562563381,521913566,1618,50187652,13,70781,17517038507,16180576308,11845270510,11636941775,6393253,386985157,198604187,6650325,3849599,11256934
10035185,183458,ECHO,27010,ᴸⁱᵃ 가 후,153394886,779883848,25,Wilderburg,60,7702351,153394886,93021058,31732531,18820467,9820830,5448906,505958568,1963,113244,203546,2087,1521550464,1147516986,960624407,4177745551,4222,5581090132,1122,174532,15433104145,15413795690,11238439386,8247191298,4726813,325885833,313261881,47179770,28985436,63600765
6409636,183458,ECHO,27010,Broke Evil Kat,152638385,1330822986,25,Wilderburg,60,11527580,178708343,91473902,31734406,18820467,10609610,3416055,690943387,591,197177,306246,1635,2138436973,1580673962,1067516940,4955930480,405,651340644,160,232692,17629958413,17102494759,11920552079,11758970423,7283870,436176319,783824961,21941372,12568801,75356733
6111871,183458,ECHO,27010,Mei ʕᵔᴥᵔʔ,152415690,879501837,25,League of Order,60,19279650,154276915,94086477,31734406,18820467,7774340,4086905,395517463,933,99599,108620,451,109007935,30859341,58921329,311420441,87,801354546,184,53725,16201130600,12525948798,11058863050,10657175090,5543849,225261871,559017398,35571247,21425798,36914023
2404313,183458,ECHO,27010,Nawaff,152206892,726532983,25,League of Order,60,9863245,164418162,91629059,31734406,18820467,10022960,3827632,444625470,100,131760,293662,54,578957265,572669838,619561911,1972230333,253,535269485,114,111751,10138613865,9228013174,6210681805,6469307905,5266865,408631966,291293744,12301446,4730564,9386479
9947044,183458,ECHO,27010,Aсe,152011564,548983272,25,League of Order,60,15191562,200171113,91962211,31734406,18820467,9494480,3026416,446422614,639,99864,185710,561,236987896,68673171,293875335,3552906113,184,1221868907,250,80119,10985850359,11335576415,7037951897,6406382142,6635437,307178376,199516392,5091481,2376579,34608208
1358141,183458,ECHO,27010,ᶜᵃᵏᵉˡᵉˢˢPumbaaヅ,149474423,900789944,25,League of Order,60,11469073,156282103,90138640,31734406,18820467,8780910,3780030,633699192,244,142063,284564,500,935112915,810664150,782721085,4915270268,6783,1664211096,341,124383,12590043119,12561505016,8785073752,7526820304,2646065,493209986,347126765,17043921,13651878,29561596
1454437,183458,ECHO,27010,LoOve,148329636,632910987,25,League of Order,60,11065723,189769666,89044383,31734406,18820467,8730380,1844970,405518320,517,107344,216239,1781,1438660177,1252644695,1484698603,989852031,199,73827558,66,84251,10029929072,9923079182,6222567054,6949342020,4926533,338203227,249606565,8412778,4930438,31294638
1440213,183458,ECHO,27010,SpitFire,146876027,711309903,25,Wilderburg,60,4871833,179687687,86164844,31734406,18820467,10156310,2394080,495968492,179,122273,287541,210,4620031490,2951058591,2608072381,5763728230,435,29509784,15,122520,7828436711,7091255965,4376873488,4628259194,4316478,362122958,256087535,10179288,2690445,80082297
8532169,183458,ECHO,27010,WCKD,146511766,776924762,25,Wilderburg,60,21044329,164868716,86176403,31734406,18820467,9780490,1340245,430463668,151,86350,381787,524,551182636,397444234,1298083307,4448794779,11,304600000,61,116793,10753473901,8072495302,7754552544,6486526189,3934231,475956238,257100725,11627583,4979399,27153826
13589186,183458,ECHO,27010,Broke Ranger,146076818,783299821,25,League of Order,60,13283031,150035118,85306240,31732531,18820467,10217580,343747,339704270,49,63411,212559,231,683321099,720160863,244027692,2090704090,148,269281358,59,75072,10564116966,10928500063,6059099126,5854287015,11698662,325422535,400467205,8958013,3304363,45124270
2481878,183458,ECHO,27010,Ancientpanda,145808633,506074738,25,League of Order,60,7484649,146618823,86110035,31732531,18820467,9145600,2919125,338982956,841,68661,181157,952,827129507,919841703,754397847,2010917125,1951,567809453,122,111307,7246264411,7694752030,6108005406,4982409954,2413433,213631067,222954272,26161401,16397910,26070897
9190733,183458,ECHO,27010,亗 ARCHON 亗,145594369,988018741,25,League of Order,60,19880706,157742468,87119001,31732531,18820467,7922370,739894,403157700,155,23569,530058,145,2616411222,3027123168,1961756808,6037220465,26,157801158,40,147776,8597752978,7494758725,8286113213,6173228316,3764173,546586888,349292086,4476542,4736449,82897770
1701058,278547,ECH1,27010,HiPrincess,145449894,889789223,25,League of Order,60,2252982,156471954,84999951,31734406,18820467,9895070,8124337,687830100,799,178847,349963,576,807554324,625922558,400159596,3164589675,201,8732749954,1877,196219,33720484227,30970410064,25156346708,21095127411,10612765,600952073,200951708,3927030,3565439,80029899
10897575,183458,ECHO,27010,KisOne,144776001,922710896,25,Wilderburg,60,10272465,152447341,84948853,31732531,18820467,9274150,4533094,612896776,1522,151936,187967,683,261166646,138560897,274598940,1831135416,208,13282706457,2739,73179,34262477946,30318355818,28745495790,20646949123,7313422,381730602,443235899,26445291,15345932,55087390
2810149,183458,ECHO,27010,EnnZo,144738011,558870968,25,League of Order,60,9715410,167481111,84407963,31732531,18820467,9777050,410525,493650395,59,116946,188118,334,1662803832,1554466682,1648939322,4120443575,7,1795799979,369,105182,12195544809,10980649477,10653691824,7959925207,4592406,310051047,221349253,5850044,2765618,18799098
4778165,183458,ECHO,27010,SоÐ,143833493,912626889,25,Wilderburg,60,12757232,186082873,83132540,31734406,18820467,10146080,7307128,684952035,758,278259,250734,200,120356547,178922479,129885782,885208288,20,3566070840,846,109370,30420418356,27796505262,19675270710,19359932188,8235188,492482230,342324894,29302975,11132686,36848417
1157541,183458,ECHO,27010,Jinxsta,143800981,1064684182,25,League of Order,60,15666010,150124061,86280458,31734406,18820467,6944230,1000869,493812616,222,50931,336095,786,2532199008,2680080081,1801785597,8392166046,130,152880770,45,193531,5166416811,4714399171,3448611742,2956770969,1944497,441765552,379683900,25581476,15588792,201757895
3104679,183458,ECHO,27010,ᶜʰᵃᵒˢ ﾒ Milone,142625840,482024998,25,League of Order,60,2393219,151587810,84703477,31734406,18820467,7367490,1543476,351182227,52,102188,154690,385,598056870,551121425,863843122,3236927082,133,64000001,16,75821,5330583361,8505774314,7295608375,5686972155,1988635,258667361,197203798,12834040,6740237,6547788
3715972,183458,ECHO,27010,۞UPPER҉3,141877137,738857417,25,League of Order,60,13207042,148966687,82846159,31732531,18820467,8157980,500101,439224101,30,81895,273126,1106,1536848888,1563209103,1755585175,4030987092,180,551465155,165,117003,7352895693,7606037333,5706051570,5181396977,2438609,360829874,284582979,14316518,9763299,69263150
3648125,183458,ECHO,27010,nAKIn,141670663,1827189001,25,League of Order,60,18073474,181971805,79494650,31734406,18820467,11621140,12553186,942654170,5012,156117,323703,2589,1136877242,757045408,596470969,2403619459,487,6859280532,1555,177888,20421870118,20057910896,15330649549,14233238156,5526679,702745676,871499633,60673481,42837105,140624516
1616391,183458,ECHO,27010,ᴮʳᵘⁱⁿʙʀᴏᴡɴɪᴇᵔᴥᵔ,141160623,690981207,25,League of Order,60,16085271,165871573,81233660,31734406,18820467,9372090,1662237,437703157,206,78225,365443,328,1513052319,1455089372,1408167476,4746666840,-,4092083,4,125548,7463650061,7014485145,4874287288,4713808856,4519222,425348198,171880190,4730708,2294730,86571993
2717353,183458,ECHO,27010,ᴳᴿcrazydoctor94,141104165,1117482584,25,League of Order,60,8608794,176216246,81902232,31734406,18820467,8647060,2207630,496227701,345,77104,490608,619,481900501,696185223,635734250,3126210575,66,2282074845,477,138375,11006653157,11479329687,10028270779,7475630767,2655886,541642321,485575374,21371031,9754369,58805916
3294730,183458,ECHO,27010,Clansolace,140513193,656486258,25,League of Order,60,8899376,148966483,80472790,31734406,18820467,9435660,2601928,555004124,58,212422,182536,573,3397957691,3620289671,1609600198,2623840761,46,750885881,166,101545,19087273126,18467450654,6470535911,11129981351,3349845,349443474,280738964,8066165,3651420,14481756
3569766,183458,ECHO,27010,Krusi,140111397,821929594,25,Springwardens,60,22012966,206903497,78695614,31734406,18820467,10860910,2673823,723016800,253,252727,197107,636,1579059404,1301688656,1020154682,2931843449,337,131867382,42,130660,16732308326,16088342297,9934136859,11019344347,8080804,402692264,343908841,14513882,5406609,55301874
3034691,183458,ECHO,27010,Broke Pingüryen,139493353,759304032,25,League of Order,60,13218742,158065473,79005290,31734406,18820467,9613190,892654,528337116,306,124690,252362,393,193165858,127013004,182222243,2233154312,3,2405411971,496,79864,8514566134,8112085711,6141278699,5112391007,1008000,353328244,294828770,17342452,8134873,85460684
4029587,183458,ECHO,27010,Lotu,138025406,772599603,25,League of Order,60,13591625,208221386,77149733,31734406,18820467,10320800,1445847,621450666,27,198356,330922,284,429043717,517597076,409721587,803420683,593,1048716,3,52946,22763430292,22041526856,11011379449,14665982288,10614668,451480162,233063429,8262695,3557525,76169217
1191528,183458,ECHO,27010,Jern,137686023,1023677640,25,League of Order,60,17443061,174134913,77317430,31734406,18820467,9813720,2784834,601458281,1532,162249,267394,1173,1774199924,1635750757,1749876046,3845589148,6622,7049427442,1482,106277,15446640792,15748854522,11954392783,9165988824,3777815,507415422,359547291,24031500,22304235,109400089
4966932,183458,ECHO,27010,HAVN,137323016,437986059,25,League of Order,60,7057548,163522346,77857468,31732531,18820467,8912550,2033375,368384870,469,133548,213923,233,405900759,476710986,226660472,2559801358,10,220690639,51,69919,8880640978,8196566023,5634285120,5707812526,4192348,252615898,155927768,10462042,5212007,12935028
49818,183458,ECHO,27010,Pelochas ᴱᴳᴼ,136897008,475959526,25,League of Order,60,5624849,142242378,77682710,31732531,18820467,8661300,1421845,435614901,128,93072,140436,1138,2274094455,3143888445,2084157071,3050226808,2552,701094165,156,128119,7380616295,8320837375,4869879062,4906815903,2374663,171730703,263772051,2647737,702561,36838383
8461962,183458,ECHO,27010,R0b1n,135377311,712947196,25,League of Order,60,15583915,153599493,75475263,31732531,18621717,9547800,1414222,479112309,221,78953,305574,751,1763482875,1081640534,1353410008,6650363995,40,402145117,81,119180,10072140566,9145782139,8824424747,6073166968,3593343,364102520,313758667,18719476,8211847,8038610
1890389,183458,ECHO,27010,Dark Blue,135370036,880544190,25,League of Order,60,9475294,150659728,74835668,31732531,18820467,9981370,1111545,579185856,183,121436,219962,839,644554545,1343498897,1138253122,5341762276,243,9187173848,1846,116051,14509355722,16236775301,11310369377,7533812553,4949910,283095436,518109694,8364639,3210535,67705793
2234838,183458,ECHO,27010,ᶜʰᵃᵒˢメLin,134914553,787787314,25,League of Order,60,7916299,162081463,75055130,31734406,18820467,9304550,3108609,503523536,1306,184639,203061,927,602953350,290720549,601919122,5489706315,108,5430825347,1143,59277,11892857062,10876781753,6446741660,6266194332,1536382,307389572,398824387,46266812,17118444,16528346
